Dep_Code,Arr_Code,Dep_Date,Arr_Date,airline,baggage,flightstops,totaltime,Scrap_Date,triptype,price
DXB,LHR,8/22/2025 8:00,8/22/2025 0:00,GF,With Baggage,1,620,8/5/2025,oneway,225.53
DXB,LHR,8/22/2025 7:35,8/22/2025 0:00,TK,Without Baggage,1,725,8/5/2025,oneway,229.99
DXB,LHR,8/22/2025 7:35,8/22/2025 0:00,TK,Without Baggage,1,700,8/5/2025,oneway,229.99
DXB,LHR,8/22/2025 21:00,8/22/2025 0:00,GF,With Baggage,1,775,8/5/2025,oneway,230.64
DXB,LHR,8/22/2025 21:00,8/22/2025 0:00,GF,With Baggage,1,775,8/5/2025,oneway,237.95
DXB,LHR,8/22/2025 8:00,8/22/2025 0:00,GF,With Baggage,1,620,8/5/2025,oneway,237.95
DXB,STN,8/22/2025 3:10,8/22/2025 0:00,TK,Without Baggage,1,870,8/5/2025,oneway,241.15
DXB,LGW,8/22/2025 13:15,8/22/2025 0:00,QR,With Baggage,1,1225,8/5/2025,oneway,242.32
DXB,LHR,8/22/2025 11:45,8/22/2025 0:00,QR,With Baggage,1,555,8/5/2025,oneway,251.99
DXB,LGW,8/22/2025 11:45,8/22/2025 0:00,QR,With Baggage,1,1315,8/5/2025,oneway,254.46
DXB,LGW,8/22/2025 13:15,8/22/2025 0:00,QR,With Baggage,1,1630,8/5/2025,oneway,254.46
DXB,LGW,8/22/2025 5:50,8/22/2025 0:00,QR,With Baggage,1,1670,8/5/2025,oneway,254.46
DXB,LGW,8/22/2025 11:45,8/22/2025 0:00,QR,With Baggage,1,1720,8/5/2025,oneway,254.46
DXB,LHR,8/22/2025 10:30,8/22/2025 0:00,TK,With Baggage,1,800,8/5/2025,oneway,255.91
DXB,LHR,8/22/2025 7:35,8/22/2025 0:00,TK,With Baggage,1,975,8/5/2025,oneway,255.91
DXB,LHR,8/22/2025 13:55,8/22/2025 0:00,TK,With Baggage,1,1490,8/5/2025,oneway,255.91
DXB,LTN,8/22/2025 4:25,8/22/2025 0:00,PC,Without Baggage,2,930,8/5/2025,oneway,256.19
DXB,LHR,8/22/2025 13:55,8/22/2025 0:00,TK,With Baggage,1,690,8/5/2025,oneway,258.5
DXB,LTN,8/22/2025 4:25,8/22/2025 0:00,PC,Without Baggage,2,1525,8/5/2025,oneway,266.95
DXB,LGW,8/22/2025 6:20,8/22/2025 0:00,SV,With Baggage,2,580,8/5/2025,oneway,268.65
DXB,STN,8/22/2025 4:25,8/22/2025 0:00,PC,Without Baggage,2,390,8/5/2025,oneway,273.35
